userId,action,label
user_1,like,label_4
user_1,share,label_4
user_1,view,label_5
user_1,purchase,label_3
user_1,purchase,label_1
user_1,share,label_3
user_1,comment,label_1
user_1,view,label_4
user_1,view,label_4
user_1,purchase,label_1
user_2,purchase,label_3
user_2,comment,label_3
user_2,purchase,label_4
user_2,purchase,label_3
user_2,view,label_5
user_2,purchase,label_5
user_2,view,label_2
user_2,like,label_4
user_2,purchase,label_2
user_2,comment,label_2
user_3,comment,label_3
user_3,like,label_5
user_3,like,label_1
user_3,comment,label_2
user_3,share,label_4
user_3,share,label_2
user_3,share,label_4
user_3,comment,label_2
user_3,view,label_2
user_3,purchase,label_1
user_4,purchase,label_4
user_4,comment,label_4
user_4,view,label_3
user_4,purchase,label_5
user_4,share,label_5
user_4,purchase,label_4
user_4,like,label_3
user_4,share,label_4
user_4,comment,label_1
user_4,share,label_3
user_5,comment,label_3
user_5,share,label_5
user_5,share,label_4
user_5,comment,label_5
user_5,view,label_3
user_5,like,label_2
user_5,view,label_4
user_5,share,label_2
user_5,like,label_2
user_5,purchase,label_2
user_6,view,label_2
user_6,share,label_5
user_6,view,label_2
user_6,like,label_4
user_6,view,label_2
user_6,view,label_4
user_6,comment,label_4
user_6,view,label_3
user_6,view,label_1
user_6,share,label_5
user_7,like,label_4
user_7,view,label_4
user_7,comment,label_3
user_7,share,label_5
user_7,purchase,label_2
user_7,purchase,label_1
user_7,comment,label_5
user_7,purchase,label_2
user_7,comment,label_2
user_7,comment,label_2
user_8,comment,label_2
user_8,share,label_3
user_8,comment,label_1
user_8,comment,label_4
user_8,purchase,label_1
user_8,comment,label_5
user_8,view,label_2
user_8,purchase,label_5
user_8,like,label_3
user_8,comment,label_1
user_9,like,label_2
user_9,view,label_5
user_9,comment,label_3
user_9,share,label_4
user_9,purchase,label_5
user_9,purchase,label_5
user_9,comment,label_5
user_9,comment,label_1
user_9,view,label_4
user_9,like,label_3
user_10,view,label_4
user_10,view,label_3
user_10,purchase,label_4
user_10,purchase,label_1
user_10,share,label_5
user_10,share,label_5
user_10,like,label_5
user_10,like,label_1
user_10,like,label_3
user_10,share,label_5
user_11,view,label_5
user_11,view,label_2
user_11,view,label_2
user_11,share,label_3
user_11,view,label_4
user_11,view,label_5
user_11,comment,label_5
user_11,comment,label_2
user_11,comment,label_1
user_11,purchase,label_4
user_12,purchase,label_5
user_12,share,label_1
user_12,comment,label_1
user_12,view,label_3
user_12,share,label_5
user_12,share,label_2
user_12,like,label_3
user_12,view,label_1
user_12,view,label_4
user_12,share,label_3
user_13,purchase,label_1
user_13,view,label_1
user_13,share,label_2
user_13,view,label_5
user_13,comment,label_5
user_13,share,label_1
user_13,like,label_4
user_13,view,label_3
user_13,purchase,label_1
user_13,share,label_3
user_14,view,label_1
user_14,like,label_3
user_14,comment,label_5
user_14,like,label_3
user_14,view,label_5
user_14,purchase,label_2
user_14,share,label_5
user_14,comment,label_3
user_14,view,label_5
user_14,share,label_2
user_15,like,label_5
user_15,like,label_4
user_15,like,label_2
user_15,like,label_1
user_15,comment,label_3
user_15,like,label_2
user_15,like,label_4
user_15,purchase,label_1
user_15,view,label_4
user_15,like,label_2
user_16,comment,label_1
user_16,comment,label_2
user_16,share,label_5
user_16,view,label_2
user_16,comment,label_4
user_16,like,label_1
user_16,comment,label_4
user_16,share,label_1
user_16,like,label_4
user_16,view,label_4
user_17,purchase,label_3
user_17,share,label_1
user_17,view,label_4
user_17,comment,label_4
user_17,like,label_1
user_17,view,label_3
user_17,comment,label_1
user_17,purchase,label_5
user_17,view,label_2
user_17,purchase,label_3
user_18,like,label_3
user_18,share,label_2
user_18,purchase,label_3
user_18,view,label_1
user_18,like,label_1
user_18,purchase,label_4
user_18,view,label_4
user_18,view,label_4
user_18,comment,label_3
user_18,like,label_5
user_19,view,label_5
user_19,view,label_5
user_19,like,label_3
user_19,comment,label_3
user_19,like,label_3
user_19,purchase,label_4
user_19,share,label_3
user_19,view,label_1
user_19,comment,label_2
user_19,view,label_3
user_20,view,label_2
user_20,purchase,label_5
user_20,view,label_2
user_20,view,label_3
user_20,comment,label_3
user_20,like,label_1
user_20,purchase,label_2
user_20,view,label_1
user_20,like,label_3
user_20,like,label_5
user_21,like,label_5
user_21,view,label_3
user_21,view,label_4
user_21,like,label_1
user_21,comment,label_3
user_21,comment,label_5
user_21,share,label_2
user_21,comment,label_2
user_21,share,label_5
user_21,comment,label_4
user_22,view,label_5
user_22,comment,label_3
user_22,like,label_5
user_22,share,label_2
user_22,comment,label_1
user_22,view,label_2
user_22,purchase,label_2
user_22,purchase,label_3
user_22,purchase,label_5
user_22,share,label_5
user_23,like,label_4
user_23,view,label_4
user_23,like,label_4
user_23,purchase,label_3
user_23,view,label_5
user_23,comment,label_4
user_23,view,label_4
user_23,purchase,label_2
user_23,like,label_3
user_23,view,label_3
user_24,view,label_2
user_24,purchase,label_2
user_24,share,label_5
user_24,purchase,label_1
user_24,view,label_5
user_24,like,label_3
user_24,share,label_4
user_24,like,label_2
user_24,purchase,label_3
user_24,comment,label_3
user_25,purchase,label_5
user_25,purchase,label_4
user_25,purchase,label_2
user_25,purchase,label_2
user_25,comment,label_1
user_25,like,label_2
user_25,share,label_1
user_25,purchase,label_3
user_25,view,label_2
user_25,view,label_5
user_26,comment,label_5
user_26,purchase,label_4
user_26,comment,label_4
user_26,share,label_2
user_26,comment,label_4
user_26,comment,label_3
user_26,like,label_4
user_26,comment,label_3
user_26,comment,label_2
user_26,view,label_4
user_27,like,label_2
user_27,view,label_5
user_27,purchase,label_5
user_27,purchase,label_3
user_27,like,label_5
user_27,purchase,label_1
user_27,share,label_2
user_27,purchase,label_2
user_27,like,label_3
user_27,like,label_1
user_28,comment,label_2
user_28,comment,label_2
user_28,purchase,label_5
user_28,view,label_3
user_28,comment,label_5
user_28,comment,label_2
user_28,purchase,label_2
user_28,share,label_2
user_28,share,label_1
user_28,like,label_4
user_29,share,label_5
user_29,comment,label_4
user_29,comment,label_1
user_29,purchase,label_4
user_29,view,label_5
user_29,share,label_1
user_29,share,label_3
user_29,like,label_5
user_29,view,label_3
user_29,like,label_4
user_30,comment,label_4
user_30,comment,label_2
user_30,comment,label_4
user_30,purchase,label_4
user_30,share,label_2
user_30,comment,label_4
user_30,share,label_5
user_30,comment,label_1
user_30,comment,label_4
user_30,purchase,label_1
user_31,like,label_3
user_31,comment,label_3
user_31,comment,label_5
user_31,comment,label_2
user_31,like,label_1
user_31,comment,label_5
user_31,share,label_5
user_31,view,label_1
user_31,share,label_4
user_31,share,label_1
user_32,like,label_2
user_32,share,label_1
user_32,view,label_1
user_32,like,label_2
user_32,like,label_3
user_32,like,label_5
user_32,view,label_4
user_32,comment,label_2
user_32,comment,label_1
user_32,share,label_3
user_33,share,label_3
user_33,view,label_2
user_33,comment,label_5
user_33,purchase,label_4
user_33,view,label_4
user_33,share,label_2
user_33,purchase,label_2
user_33,like,label_2
user_33,share,label_5
user_33,purchase,label_1
user_34,purchase,label_1
user_34,like,label_4
user_34,like,label_1
user_34,purchase,label_3
user_34,purchase,label_3
user_34,view,label_2
user_34,view,label_5
user_34,share,label_1
user_34,share,label_3
user_34,share,label_5
user_35,purchase,label_4
user_35,like,label_4
user_35,purchase,label_4
user_35,like,label_1
user_35,share,label_3
user_35,like,label_5
user_35,share,label_1
user_35,like,label_4
user_35,like,label_1
user_35,like,label_2
user_36,view,label_3
user_36,like,label_4
user_36,comment,label_3
user_36,purchase,label_3
user_36,view,label_5
user_36,share,label_3
user_36,comment,label_5
user_36,share,label_1
user_36,share,label_5
user_36,purchase,label_1
user_37,share,label_3
user_37,view,label_2
user_37,purchase,label_2
user_37,purchase,label_5
user_37,view,label_1
user_37,like,label_5
user_37,view,label_2
user_37,share,label_5
user_37,purchase,label_5
user_37,purchase,label_2
user_38,view,label_4
user_38,share,label_4
user_38,purchase,label_3
user_38,view,label_1
user_38,share,label_4
user_38,purchase,label_1
user_38,comment,label_3
user_38,like,label_1
user_38,share,label_2
user_38,share,label_5
user_39,like,label_2
user_39,share,label_2
user_39,purchase,label_3
user_39,like,label_5
user_39,view,label_2
user_39,view,label_1
user_39,purchase,label_4
user_39,purchase,label_4
user_39,share,label_1
user_39,comment,label_3
user_40,share,label_5
user_40,like,label_4
user_40,purchase,label_1
user_40,comment,label_5
user_40,comment,label_4
user_40,purchase,label_4
user_40,purchase,label_5
user_40,purchase,label_1
user_40,like,label_1
user_40,share,label_3
user_41,purchase,label_2
user_41,like,label_2
user_41,purchase,label_4
user_41,like,label_3
user_41,comment,label_1
user_41,comment,label_1
user_41,comment,label_5
user_41,purchase,label_4
user_41,share,label_4
user_41,like,label_2
user_42,like,label_4
user_42,view,label_3
user_42,share,label_1
user_42,view,label_5
user_42,purchase,label_5
user_42,view,label_2
user_42,comment,label_2
user_42,share,label_2
user_42,purchase,label_4
user_42,share,label_5
user_43,view,label_5
user_43,view,label_3
user_43,share,label_2
user_43,purchase,label_2
user_43,purchase,label_1
user_43,purchase,label_5
user_43,comment,label_5
user_43,view,label_4
user_43,share,label_5
user_43,comment,label_1
user_44,view,label_3
user_44,share,label_3
user_44,purchase,label_1
user_44,view,label_3
user_44,view,label_3
user_44,purchase,label_1
user_44,view,label_5
user_44,share,label_1
user_44,like,label_4
user_44,purchase,label_5
user_45,purchase,label_4
user_45,view,label_4
user_45,view,label_5
user_45,view,label_1
user_45,comment,label_2
user_45,share,label_4
user_45,purchase,label_1
user_45,view,label_4
user_45,share,label_4
user_45,like,label_2
user_46,share,label_3
user_46,share,label_3
user_46,comment,label_3
user_46,share,label_3
user_46,like,label_3
user_46,share,label_2
user_46,comment,label_1
user_46,purchase,label_3
user_46,purchase,label_5
user_46,like,label_4
user_47,view,label_5
user_47,purchase,label_4
user_47,share,label_2
user_47,view,label_3
user_47,share,label_2
user_47,like,label_3
user_47,purchase,label_4
user_47,comment,label_5
user_47,view,label_3
user_47,share,label_2
user_48,comment,label_2
user_48,view,label_1
user_48,share,label_1
user_48,purchase,label_3
user_48,share,label_2
user_48,share,label_3
user_48,share,label_4
user_48,view,label_4
user_48,purchase,label_3
user_48,purchase,label_2
user_49,like,label_2
user_49,view,label_2
user_49,comment,label_2
user_49,share,label_4
user_49,purchase,label_2
user_49,purchase,label_5
user_49,comment,label_3
user_49,like,label_3
user_49,comment,label_3
user_49,view,label_1
user_50,purchase,label_5
user_50,view,label_1
user_50,share,label_2
user_50,view,label_4
user_50,view,label_3
user_50,share,label_1
user_50,purchase,label_1
user_50,like,label_1
user_50,like,label_5
user_50,share,label_2
user_1,purchase,label_2
user_1,share,label_2
user_1,view,label_4
user_1,purchase,label_1
user_1,share,label_3
user_1,comment,label_4
user_1,view,label_2
user_1,view,label_3
user_1,purchase,label_3
user_1,purchase,label_2
user_2,view,label_4
user_2,share,label_2
user_2,comment,label_1
user_2,purchase,label_2
user_2,share,label_4
user_2,view,label_2
user_2,like,label_1
user_2,share,label_3
user_2,like,label_2
user_2,view,label_3
user_3,like,label_5
user_3,share,label_4
user_3,like,label_3
user_3,view,label_4
user_3,comment,label_4
user_3,purchase,label_5
user_3,comment,label_1
user_3,purchase,label_3
user_3,purchase,label_5
user_3,view,label_2
user_4,purchase,label_4
user_4,comment,label_5
user_4,view,label_5
user_4,comment,label_4
user_4,purchase,label_2
user_4,comment,label_4
user_4,comment,label_4
user_4,share,label_1
user_4,share,label_5
user_4,like,label_3
user_5,like,label_4
user_5,share,label_4
user_5,like,label_1
user_5,view,label_1
user_5,purchase,label_5
user_5,view,label_3
user_5,share,label_5
user_5,view,label_2
user_5,comment,label_5
user_5,share,label_4
user_6,comment,label_3
user_6,comment,label_3
user_6,comment,label_4
user_6,comment,label_4
user_6,like,label_4
user_6,view,label_5
user_6,purchase,label_3
user_6,purchase,label_1
user_6,like,label_3
user_6,purchase,label_1
user_7,like,label_5
user_7,like,label_5
user_7,like,label_4
user_7,purchase,label_5
user_7,like,label_1
user_7,like,label_1
user_7,view,label_4
user_7,comment,label_4
user_7,comment,label_4
user_7,view,label_1
user_8,share,label_5
user_8,like,label_1
user_8,share,label_3
user_8,comment,label_4
user_8,view,label_4
user_8,like,label_5
user_8,share,label_1
user_8,comment,label_1
user_8,purchase,label_3
user_8,view,label_3
user_9,like,label_5
user_9,comment,label_2
user_9,view,label_1
user_9,view,label_3
user_9,share,label_1
user_9,comment,label_1
user_9,comment,label_5
user_9,comment,label_3
user_9,share,label_5
user_9,like,label_1
user_10,purchase,label_2
user_10,comment,label_3
user_10,share,label_3
user_10,view,label_4
user_10,comment,label_1
user_10,share,label_2
user_10,purchase,label_4
user_10,comment,label_1
user_10,view,label_2
user_10,view,label_3
user_11,comment,label_1
user_11,purchase,label_1
user_11,share,label_5
user_11,comment,label_5
user_11,like,label_1
user_11,comment,label_4
user_11,share,label_5
user_11,purchase,label_1
user_11,comment,label_2
user_11,comment,label_2
user_12,like,label_5
user_12,comment,label_2
user_12,share,label_3
user_12,like,label_5
user_12,share,label_3
user_12,share,label_3
user_12,purchase,label_1
user_12,comment,label_4
user_12,like,label_4
user_12,view,label_2
user_13,share,label_2
user_13,share,label_4
user_13,purchase,label_3
user_13,like,label_4
user_13,purchase,label_4
user_13,comment,label_2
user_13,comment,label_2
user_13,view,label_2
user_13,like,label_5
user_13,share,label_1
user_14,comment,label_4
user_14,view,label_5
user_14,purchase,label_1
user_14,comment,label_3
user_14,like,label_5
user_14,view,label_2
user_14,like,label_4
user_14,share,label_2
user_14,comment,label_4
user_14,purchase,label_3
user_15,view,label_2
user_15,share,label_2
user_15,share,label_2
user_15,share,label_1
user_15,purchase,label_3
user_15,comment,label_4
user_15,comment,label_3
user_15,like,label_4
user_15,like,label_1
user_15,purchase,label_3
user_16,like,label_4
user_16,comment,label_1
user_16,like,label_3
user_16,purchase,label_2
user_16,comment,label_3
user_16,like,label_4
user_16,like,label_1
user_16,purchase,label_3
user_16,view,label_5
user_16,comment,label_1
user_17,view,label_1
user_17,view,label_2
user_17,share,label_2
user_17,like,label_4
user_17,view,label_5
user_17,purchase,label_4
user_17,like,label_2
user_17,comment,label_5
user_17,comment,label_2
user_17,comment,label_3
user_18,like,label_1
user_18,comment,label_5
user_18,purchase,label_2
user_18,comment,label_4
user_18,like,label_1
user_18,like,label_4
user_18,comment,label_4
user_18,like,label_4
user_18,share,label_2
user_18,view,label_2
user_19,like,label_4
user_19,view,label_2
user_19,purchase,label_3
user_19,share,label_3
user_19,share,label_2
user_19,comment,label_3
user_19,view,label_3
user_19,purchase,label_2
user_19,comment,label_4
user_19,share,label_1
user_20,like,label_4
user_20,view,label_5
user_20,like,label_2
user_20,purchase,label_5
user_20,like,label_3
user_20,view,label_5
user_20,view,label_5
user_20,comment,label_2
user_20,share,label_5
user_20,view,label_4
user_21,share,label_1
user_21,comment,label_4
user_21,like,label_2
user_21,view,label_3
user_21,like,label_4
user_21,purchase,label_1
user_21,purchase,label_2
user_21,share,label_2
user_21,view,label_2
user_21,purchase,label_3
user_22,like,label_4
user_22,share,label_4
user_22,comment,label_1
user_22,comment,label_2
user_22,purchase,label_5
user_22,like,label_5
user_22,like,label_1
user_22,share,label_5
user_22,view,label_1
user_22,purchase,label_2
user_23,share,label_2
user_23,like,label_4
user_23,like,label_1
user_23,purchase,label_2
user_23,share,label_3
user_23,purchase,label_1
user_23,purchase,label_1
user_23,like,label_3
user_23,share,label_5
user_23,like,label_3
user_24,purchase,label_5
user_24,purchase,label_5
user_24,purchase,label_4
user_24,comment,label_1
user_24,view,label_2
user_24,comment,label_1
user_24,purchase,label_4
user_24,view,label_3
user_24,view,label_2
user_24,share,label_4
user_25,share,label_5
user_25,like,label_3
user_25,like,label_5
user_25,comment,label_2
user_25,like,label_5
user_25,like,label_5
user_25,comment,label_5
user_25,comment,label_3
user_25,like,label_1
user_25,like,label_1
user_26,view,label_5
user_26,view,label_4
user_26,view,label_2
user_26,view,label_3
user_26,like,label_4
user_26,share,label_3
user_26,purchase,label_3
user_26,comment,label_5
user_26,purchase,label_5
user_26,comment,label_1
user_27,comment,label_4
user_27,like,label_5
user_27,share,label_4
user_27,purchase,label_2
