userId,action,label,predicted_action,predicted_label
user_1,purchase,label_5,,
user_1,share,label_4,,
user_1,share,label_2,,
user_1,like,label_4,,
user_1,purchase,label_5,,
user_2,comment,label_3,,
user_2,like,label_3,,
user_2,view,label_2,,
user_2,comment,label_4,,
user_2,view,label_5,,
user_2,share,label_2,,
user_2,comment,label_5,,
user_3,share,label_1,,
user_3,share,label_3,,
user_3,share,label_4,,
user_3,share,label_4,,
user_3,purchase,label_2,,
user_3,comment,label_2,,
user_4,purchase,label_3,,
user_4,share,label_3,,
user_4,comment,label_2,,
user_4,purchase,label_3,,
user_4,share,label_2,,
user_4,view,label_1,,
user_4,comment,label_4,,
user_4,purchase,label_4,,
user_5,like,label_4,,
user_5,comment,label_4,,
user_5,share,label_5,,
user_5,share,label_5,,
user_5,view,label_4,,
user_5,like,label_2,,
user_5,share,label_1,,
user_5,view,label_1,,
user_5,like,label_3,,
user_1,,,view,label_2
user_2,,,comment,label_1
user_3,,,view,label_5
user_4,,,purchase,label_4
user_5,,,like,label_2
